2014-08-11 15:50:49.7342 | ERROR | MauvaiseFermetureException |  Mauvaise Fermeutre de l'application
2014-08-11 16:24:15.6659 | ERROR | MauvaiseFermetureException |  Mauvaise Fermeutre de l'application
2014-08-12 10:07:16.9145 | ERROR | MauvaiseFermetureException |  Mauvaise Fermeutre de l'application
2014-08-12 10:11:11.3040 | ERROR | MauvaiseFermetureException |  Mauvaise Fermeutre de l'application
2014-08-12 10:17:56.2918 | ERROR | MauvaiseFermetureException |  Mauvaise Fermeutre de l'application
2014-08-12 10:18:34.7765 | ERROR | MauvaiseFermetureException |  Mauvaise Fermeutre de l'application
2014-08-12 10:19:59.0894 | ERROR | MauvaiseFermetureException |  Mauvaise Fermeutre de l'application
2014-08-12 10:37:13.3865 | ERROR | MauvaiseFermetureException |  Mauvaise Fermeutre de l'application
2014-08-12 11:05:07.0159 | ERROR | MauvaiseFermetureException |  Mauvaise Fermeutre de l'application
2014-08-14 10:28:14.8056 | ERROR | MauvaiseFermetureException |  Mauvaise Fermeutre de l'application
2014-08-14 10:29:18.3280 | ERROR | MauvaiseFermetureException |  Mauvaise Fermeutre de l'application
2014-08-14 10:30:48.3121 | ERROR | MauvaiseFermetureException |  Mauvaise Fermeutre de l'application
2014-08-14 10:32:46.4507 | ERROR | MauvaiseFermetureException |  Mauvaise Fermeutre de l'application
2014-08-14 10:39:27.7297 | ERROR | MauvaiseFermetureException |  Mauvaise Fermeutre de l'application
2014-08-14 10:40:41.2419 | ERROR | MauvaiseFermetureException |  Mauvaise Fermeutre de l'application
2014-08-14 10:41:48.7704 | ERROR | MauvaiseFermetureException |  Mauvaise Fermeutre de l'application
2014-08-14 10:42:41.4609 | ERROR | MauvaiseFermetureException |  Mauvaise Fermeutre de l'application
2014-08-14 10:43:58.5499 | ERROR | MauvaiseFermetureException |  Mauvaise Fermeutre de l'application
2014-08-14 10:45:04.2321 | ERROR | MauvaiseFermetureException |  Mauvaise Fermeutre de l'application
2014-08-14 10:46:03.2577 | ERROR | MauvaiseFermetureException |  Mauvaise Fermeutre de l'application
2014-08-14 10:46:43.6916 | ERROR | MauvaiseFermetureException |  Mauvaise Fermeutre de l'application
2014-08-14 10:47:46.2854 | ERROR | MauvaiseFermetureException |  Mauvaise Fermeutre de l'application
2014-08-14 10:48:28.5036 | ERROR | MauvaiseFermetureException |  Mauvaise Fermeutre de l'application
2014-08-14 10:50:58.0816 | ERROR | MauvaiseFermetureException |  Mauvaise Fermeutre de l'application
2014-08-14 10:51:50.6035 | ERROR | MauvaiseFermetureException |  Mauvaise Fermeutre de l'application
2014-08-14 10:52:32.7838 | ERROR | MauvaiseFermetureException |  Mauvaise Fermeutre de l'application
2014-08-14 10:59:40.4082 | ERROR | MauvaiseFermetureException |  Mauvaise Fermeutre de l'application
2014-08-14 11:01:53.9619 | ERROR | MauvaiseFermetureException |  Mauvaise Fermeutre de l'application
2014-08-14 11:03:12.8128 | ERROR | MauvaiseFermetureException |  Mauvaise Fermeutre de l'application
2014-08-14 11:05:05.8053 | ERROR | MauvaiseFermetureException |  Mauvaise Fermeutre de l'application
2014-08-14 11:06:11.9415 | ERROR | MauvaiseFermetureException |  Mauvaise Fermeutre de l'application
